Seria 1, Seria 2, Seria 3, Seria 4
1.846645829176887688e+01,2.346020818116243234e+01,2.971821674411437542e+01,2.289397998711387316e+01
1.732438024141986332e+01,3.315731198558279402e+01,2.655996611799157492e+01,4.367458764816863948e+01
1.746436506857419957e+01,2.019391433117067436e+01,2.665893720293673397e+01,3.905150795842396860e+01
1.302512099553037395e+01,2.092627265511504930e+01,2.771547163348903098e+01,1.292368878620947115e+01
1.329788213550542864e+01,2.691864591049644417e+01,2.755417184803620145e+01,2.734986441042322269e+01
9.300133038232246463e+00,2.563384180782572841e+01,2.787727497340484462e+01,3.885562286183612457e+01
4.650893818673942803e+00,2.148224267953330013e+01,2.743653266162897353e+01,2.722121274579000882e+01
2.376912796832870001e+01,1.750850303788736895e+01,2.589473881883777651e+01,2.542494741512932421e+01
1.916542547663390295e+01,2.608511519077321594e+01,2.776572037263417414e+01,2.103684290802035761e+01
2.367642365402242888e+01,1.565954019303271494e+01,2.652591549129519422e+01,3.956988953024530531e+01
1.915344608976543483e+01,2.943346029861489654e+01,2.633399904385199974e+01,4.105775500782480947e+01
2.076204509836243517e+01,3.093464450723881498e+01,2.666067984638710442e+01,2.754482507048517803e+01
1.321680039692235908e+01,1.688955844252986793e+01,2.781605196326210105e+01,5.001942675638508717e+01
3.844350591361775482e+00,2.768431200307869489e+01,2.834253043017364249e+01,3.173769691294418749e+01
3.075806792334701001e+00,2.236822579924260168e+01,2.768370088585730571e+01,3.192785910374683311e+01
1.674573362875900084e+00,2.230992723101489261e+01,2.986926206170544873e+01,4.789734500729601052e+01
3.328308514462210876e+00,2.165001912436378007e+01,2.703894939477098092e+01,2.236909149027117749e+01
9.521422084027216570e+00,2.740300903856349635e+01,2.411123463939119915e+01,4.236475310860586774e+01
1.262060857502375910e+01,2.310582420852450269e+01,2.979110394526919237e+01,3.523896299762694895e+01
1.125942366152164986e+01,3.023161673875512179e+01,2.597736838726327946e+01,1.239274232428624600e+01
1.075599470874243835e+01,2.748103931015428358e+01,2.857190302311000352e+01,3.291767275753623778e+01
2.279188189423367561e+01,3.551857722100771042e+01,2.623095086961870592e+01,2.422168112977864141e+01
1.020703559014261863e+01,2.231407235615502316e+01,2.732520985731782659e+01,3.169272630667094504e+01
1.073976766894801038e+01,3.671200300173126863e+01,2.656586519884530873e+01,3.075891059633507751e+01
2.238731392466916503e+01,2.523151184072195008e+01,2.858582889392265969e+01,4.503703398628097432e+01
1.074556751405366306e+01,3.261030910618818268e+01,2.801541513382189308e+01,1.917145467408911230e+01
1.298159499953829865e+01,1.895823586500109670e+01,2.423452373550717098e+01,3.759330427917510065e+01
1.995249998054232421e+01,1.764123111726811999e+01,2.711451272345682995e+01,3.004705490357905617e+01
3.782055371034986901e-01,2.756019354025207591e+01,2.635296260467235641e+01,3.421185956945809892e+01
5.642525388549141319e+00,1.983378121253581128e+01,2.854860798044080639e+01,2.599745122950517739e+01
1.111203905515188417e+01,2.545446399594785447e+01,2.640066368132660557e+01,3.289210638225685557e+01
4.254645737441231645e+00,1.784499274447971118e+01,2.434135490937822155e+01,3.115490956668873324e+01
3.181196201985600602e+00,6.544582299541662707e+00,2.547872596189489514e+01,8.716410572277343505e+00
2.994087729113192875e-02,2.351244927050407085e+01,2.771661777504158408e+01,3.793583002081446409e+01
1.987123643279679186e+01,2.426580684429570667e+01,2.436496499256243098e+01,2.554275119102765856e+01
2.231030351613194540e+01,2.271215542224482320e+01,2.800821847332857217e+01,3.405565620465714005e+01
3.454527550726937957e+00,2.348898026592522825e+01,2.628611810411154082e+01,1.518478997296302779e+01
5.074319598747487170e+00,2.235701644198800864e+01,2.830826297196436414e+01,2.813912623986731631e+01
9.669949993206900629e+00,1.842534649469195074e+01,2.580077673524171189e+01,2.980771481999275707e+01
1.691501151419703319e+01,2.807770580610583977e+01,2.543337248683846497e+01,4.114900864819862392e+01
8.105217251676503309e+00,1.860231147877360058e+01,2.615772609547877181e+01,3.572257914424346836e+01
2.006728489726675591e+01,2.544647921125330825e+01,2.373981752392094080e+01,2.597631789953115700e+01
6.022361614872942859e+00,2.289895747761980971e+01,2.813546436833654596e+01,2.056409130035211419e+01
5.955081244604332191e+00,2.110949385337524475e+01,2.619163883622660549e+01,4.032549640826101722e+01
1.824519881558569878e+01,2.387003368216636900e+01,2.799112698638115759e+01,3.028676095714508776e+01
2.255399190866528869e+01,2.772687703956957961e+01,2.894341704346364708e+01,3.606567569699635811e+01
1.568289474864325328e+01,2.876584028594259479e+01,2.881662025370898661e+01,1.549169007269115639e+01
1.958784370533965458e+01,2.132865950231607854e+01,2.641854911776710679e+01,3.885169719392955301e+01
1.853062891358993269e+01,1.641618520090250399e+01,2.918997763853835892e+01,2.837031888229065757e+01
2.270845218024489043e+01,2.825303871973829217e+01,2.907524463685076554e+01,2.459060380753194153e+01
7.882767425458897748e+00,3.355729085316404081e+01,2.994290508774850323e+01,2.850318144860479208e+01
3.842857475381233900e+00,2.626750171158789726e+01,2.821656349172966571e+01,2.685990971812109507e+01
9.661933863423705082e-01,1.808876983391954596e+01,2.843870975278457536e+01,2.742977099179929468e+01
9.688184149569117665e+00,1.737698556941347405e+01,2.599145062983409815e+01,3.405577307180931257e+01
2.754983446612177644e+00,2.161227287681198206e+01,2.777359612148260837e+01,3.962309556557694634e+01
1.236745083757330477e+01,1.750150776535462782e+01,3.025351546155022575e+01,3.997145712137498919e+01
2.452435647521696893e+01,2.223164884304254585e+01,2.918611637184821106e+01,2.288183427279147608e+01
7.533756653193279362e+00,2.662431983758011000e+01,2.550976251059887545e+01,2.245982575929974701e+01
3.581638250277791258e+00,3.029931023386695443e+01,2.733703993952667233e+01,2.817079768764739711e+01
3.013223520280411627e+00,2.772941503810359620e+01,2.791759830006401089e+01,1.633586468868251984e+01
1.082917876526383871e+01,2.503412101172644455e+01,2.679485182860265269e+01,2.807142137867867149e+01
1.016615768329504021e+01,1.868784589513337124e+01,3.099414544489258105e+01,1.993147482265255377e+01
1.986562949241072928e+01,1.603832956821462119e+01,2.711193860740421258e+01,3.987460742192044449e+01
2.327308690524635892e+01,1.591561498851102030e+01,2.938172743623228911e+01,2.757111898777244008e+01
2.178726912659442405e+01,1.893699869308195005e+01,2.669185516288142068e+01,3.013686513099281683e+01
1.134518010872718996e+01,1.466477584921644173e+01,2.713392899254142776e+01,2.679898935508315105e+01
8.875100421368031789e+00,1.595825257346784198e+01,2.797039747819998468e+01,2.417729334989247647e+01
2.178054325314564466e+01,2.542792626155638303e+01,2.666430493759163411e+01,3.102944331229642216e+01
1.330595852953721803e+01,2.213861412856723021e+01,2.527244353826372247e+01,5.206454789407322181e+01
9.352723604283058378e+00,2.094145488088759066e+01,2.755840478278615180e+01,4.190026401987746851e+01
1.484428211748119963e+01,1.589509142163432642e+01,2.597005145592048336e+01,3.525345140481108785e+01
7.262039122633562549e+00,2.603101601913418506e+01,2.683659557736682899e+01,3.691624664221070873e+01
8.349966080175052596e+00,2.075249632808126776e+01,2.860873789451279237e+01,9.317659583249351840e+00
1.769493988671185747e+01,2.193600810060738127e+01,2.587202599432151828e+01,3.154779103911959837e+01
1.517424550931704097e+01,2.689907982086935689e+01,2.737227143681961294e+01,1.145151649039249975e+01
1.362841719290974218e+01,2.681360079643609851e+01,2.736446741666076221e+01,2.630554656055306850e+01
1.626663005113123361e+01,3.188995861666791143e+01,2.553200127411167131e+01,3.419381950146496507e+01
1.335759225231156222e+01,2.188668259225953960e+01,2.745381861379596344e+01,4.025200645071504368e+01
7.329179704575494725e+00,2.721106598348952943e+01,2.737165439770116748e+01,2.636447511659561727e+01
2.154989633232084145e+01,2.321716832944520448e+01,2.563226728628806583e+01,1.855218426271024867e+01
2.712841450323941306e+00,1.624146776188068486e+01,2.619791244161331178e+01,2.309779573148943399e+01
4.661273192643589081e-01,2.123266500941933188e+01,2.607593353231370870e+01,3.172225668641992868e+01
1.350162778922513418e+01,3.875201239982101242e+01,2.845341452610424327e+01,4.094103681613451329e+01
1.073824635337414790e+01,2.611541024812468592e+01,2.548640254146418727e+01,2.166848489375409770e+01
5.272556214359469529e+00,2.086798596977111586e+01,2.824499128205215115e+01,3.815348982784648513e+01
9.185472192484681386e+00,2.323644522653699340e+01,2.556572498069540345e+01,4.819014618044320741e+01
6.819885775388040194e+00,1.785177025374801829e+01,2.676318579033549483e+01,2.633454444888172574e+01
1.163131123532098243e+01,2.847764713030637296e+01,2.557651110032908903e+01,2.449309032874196035e+01
2.061818824901203939e+01,3.338152993371703303e+01,2.467332136316584723e+01,2.824894984822135768e+01
1.530097398360165961e+01,2.666633413133292407e+01,2.795771763897375806e+01,3.884547291128153290e+01
8.811870080849661946e+00,2.057996278109010646e+01,2.695504294405283829e+01,2.530444329358697786e+01
1.025246070207744165e+00,2.300094945751433073e+01,2.605306168265814648e+01,2.406894403619115863e+01
5.340922552240112697e-01,2.482685599455481196e+01,2.789578449402682025e+01,3.578094814535045032e+01
4.047112033336436321e-01,3.112426847111915507e+01,2.914212623467006935e+01,4.728545791923647812e+01
7.020518175512699521e+00,1.975719112049513271e+01,2.647518713990812955e+01,2.957644162647820352e+01
3.929114017748852383e+00,2.311817659692782101e+01,2.557148878593569208e+01,3.247089141484085673e+01
1.976798207234676141e+01,5.411990193197535604e+00,2.771423409579334773e+01,4.787791369947017728e+01
1.135612037123057760e+01,1.743990651607876430e+01,2.612440250436664613e+01,1.670533921846232772e+01
2.177685219729171706e+01,1.706150949516620585e+01,2.661561846275533227e+01,2.754556755628255971e+01
1.632854736265183959e+01,2.265490448337765272e+01,2.773077604782491790e+01,5.038190428906837326e+01
2.395657012637236960e+01,1.904833703303884462e+01,2.870943973801393412e+01,4.064180628194968392e+01
1.791758456060582461e+01,2.329657931371953339e+01,2.550001849511307128e+01,2.659582403852807175e+01
1.999437476757653442e+01,2.531364987823643276e+01,2.771363723173695703e+01,2.576139475940688328e+01
1.556612528155661224e+01,3.158740910113447953e+01,2.560998511608612915e+01,3.363372249855611784e+01
4.939485988419342277e+00,2.194489370826903496e+01,2.843454635486011028e+01,3.067235617018140559e+01
2.497761438374254794e+00,1.358706342159816138e+01,2.852451978172944891e+01,3.886199284839933199e+01
1.390342872654723561e+00,1.279830805226175983e+01,2.730776922237684090e+01,2.818915977549537288e+01
4.053962638230657056e-01,2.484344252580534018e+01,2.709535559497144064e+01,2.946779589359748641e+01
1.435986116693229953e+01,2.124217849018973681e+01,2.916868879751390153e+01,3.115212090526533828e+01
1.144592298480033854e+01,2.109221088340054351e+01,2.854872447908458355e+01,2.773910665613656334e+01
1.742397350404431577e+01,2.674724306191161816e+01,2.311778889856598695e+01,3.522169230755076086e+01
1.895168996694691188e+01,1.292948551521732270e+01,2.862182621321758447e+01,4.216884518298888906e+01
2.045335095196126218e+01,2.788687365834342557e+01,2.570076713221397924e+01,4.210203589681663061e+01
3.307748121538817365e+00,2.198038227142212264e+01,2.757424576665300719e+01,2.200057464357935189e+01
7.356137448306282245e+00,2.392751622344431439e+01,2.613540439526884285e+01,3.222565371923108302e+01
2.494892074844383956e+01,2.517260875902651307e+01,2.545865228533433111e+01,2.707750230165677152e+01
2.468698134945146094e+01,1.797073648548930436e+01,2.879464603065633455e+01,4.236864563156273533e+01
1.762770504315935582e+01,1.958411573161015795e+01,2.734690272350783147e+01,3.454608676719980309e+01
9.485231874852702916e+00,1.915087966089098970e+01,2.464679095273091036e+01,3.579998449115765879e+01
8.252165656136126515e+00,1.328524850218342124e+01,2.560961589408503158e+01,3.527177452462434104e+01
4.292652499707588776e-01,3.190374115851343362e+01,2.665531527677262247e+01,1.467733197068105966e+01
1.213016195337638337e+01,2.407134300382145398e+01,2.512288637865573904e+01,1.459784062345647726e+01
1.427634243628629385e+01,1.965343399250480516e+01,2.712730373997658617e+01,3.476083843389665873e+01
1.832283698661979088e+01,2.872292731258606224e+01,2.880296910223117379e+01,2.439749850964543043e+01
4.287298728614155507e+00,2.683717490423416052e+01,2.958594745315059882e+01,2.318130063715591049e+01
7.675454573878292663e+00,2.206772279090959543e+01,2.680482087336535812e+01,2.592330945083238802e+01
3.234321378605814701e+00,2.162905459348353787e+01,2.629955912498066795e+01,3.572328418889416923e+01
4.743695837593151055e+00,2.721919907962948315e+01,2.616179720569210332e+01,4.283071469224100269e+01
1.682246031499915162e+01,2.986737614833855048e+01,2.423686138133748003e+01,4.432408559414150773e+01
2.195863275807302273e+01,2.232365675065274502e+01,2.831529121540892646e+01,4.465454538384112482e+01
6.371718701737042245e+00,1.594195933576999735e+01,2.702659725877173713e+01,3.413622730065593913e+01
1.312265595333529333e+01,2.408083485600451112e+01,2.413749739745821188e+01,3.152447229479500379e+01
1.833583787476817761e+01,2.022692732576571117e+01,2.904049047403886163e+01,4.352913527056496434e+01
1.771328965665590260e+01,1.764291643690694755e+01,2.598075615887794498e+01,1.976797341914942052e+01
1.836849529785578028e+00,1.708772023581891375e+01,2.717349527874106130e+01,3.937536221792479552e+01
1.066325998015270393e+01,2.678707544802878715e+01,2.512620163946602148e+01,4.834190307132696063e+01
6.047376156100142452e+00,2.815929135083932522e+01,2.531866431509324400e+01,4.725988688497888290e+01
2.340859986317016705e+01,2.879139910131795332e+01,2.555382613368379197e+01,3.317830761647161353e+01
1.509604571929768824e+01,2.761591337218219877e+01,2.782616861980130452e+01,2.236789594331878206e+01
1.756668143393280346e+01,2.212456653263890161e+01,2.816136324598397067e+01,2.818333690772451305e+01
1.360705357040888686e+01,3.660053363627025647e+01,2.871044427349250583e+01,2.829860627922782257e+01
2.041035874750419410e+01,2.398103357395152457e+01,2.963105556971067855e+01,3.117823689889771188e+01
1.044171373210464715e+00,1.639062370603261343e+01,2.686555006864952233e+01,3.385193705982477752e+01
8.612195820082090947e+00,2.581611695346769153e+01,2.575115056713081074e+01,4.338362188243576156e+01
1.979895340197526821e+01,2.202364974633647421e+01,2.726288520448050434e+01,3.427191785189925355e+01
3.411800459872915692e+00,2.822570122255124403e+01,2.831024268950644895e+01,2.448231823854866107e+01
2.125294233191869964e+01,1.931244674653785509e+01,2.446855447680462703e+01,3.442519206886488803e+01
3.664563449518829064e+00,2.689426709560373041e+01,2.356226796311446137e+01,3.057712507042693417e+01
1.660188000042250867e-01,2.694931618854484157e+01,3.024107542715423591e+01,2.839442624409231541e+01
1.041877387721235060e+01,2.563188190292147439e+01,2.549163647318367154e+01,3.925874988171127455e+01
1.419708285288782612e+01,3.286469537516535411e+01,2.556003860770630354e+01,3.540518010709939745e+01
1.221617605737377943e+01,1.666066075541311520e+01,2.702253738715228337e+01,2.284977448730337812e+01
2.328342894193933432e+01,3.364157109543348412e+01,2.806267825242378322e+01,1.415148296244457882e+01
1.884773351195002178e+01,1.862511596525975222e+01,2.620725828337483065e+01,4.219022054727058446e+01
1.532473735930222603e+01,1.993748119899180793e+01,2.633247888772175216e+01,7.433340053783688006e+00
2.394443616318553580e+01,2.303055347968112443e+01,2.986308736184939860e+01,4.194677384181743207e+01
4.191529871673724372e+00,2.752821920667470579e+01,2.653945081773605708e+01,3.640430274120094367e+01
4.072608061360699638e-01,2.596172013564724068e+01,2.731405075870820554e+01,2.552484516641005285e+01
1.464369603770318840e+01,3.645541613962571148e+01,3.074746200676661090e+01,3.006235743892557011e+01
1.183431205647788609e+01,2.885163660461956781e+01,2.744249894134713585e+01,4.708443119262400245e+01
2.161848515284221506e+01,2.529469367933158352e+01,2.838414196925170430e+01,3.058642741524180764e+01
2.241669131007334315e+01,2.393463569896223930e+01,2.753871125098676131e+01,3.237914704481514150e+01
9.257003088301679838e+00,1.938978172270417133e+01,2.612838646091092087e+01,3.750917253593978273e+01
2.466127422703728200e+01,2.082802960617605592e+01,2.464030414020103521e+01,3.565850372915767963e+01
6.265762894273477102e+00,2.783990788472797817e+01,2.748126667627453656e+01,4.400835480028226243e+01
6.359266566882462612e+00,2.713853448964751891e+01,2.619276161828877036e+01,2.240079965540697771e+01
5.064151164155061835e+00,2.388227738946879697e+01,2.750449592526729603e+01,3.199939306564121821e+01
3.872260167777974438e+00,1.977083472249456619e+01,2.819515933493245541e+01,3.662640449531150466e+01
8.072046679127542035e+00,1.295978916687313109e+01,2.817531448842620989e+01,4.465488737055534330e+01
1.643370687689029808e+01,3.079373361312406843e+01,2.745804585180065160e+01,3.313691966244331866e+01
1.550114243804749670e+01,2.232563149063767938e+01,3.065845445384528034e+01,3.551368197046141262e+01
1.911495112957327436e+01,2.240218884997220528e+01,2.759986305225310943e+01,5.118290115127235396e+01
1.921121239732381802e+00,2.991970525580000384e+01,2.639084081656108438e+01,4.277047567695847619e+01
6.608460543242414609e+00,1.450082082081761925e+01,2.643755480782054690e+01,2.074495076853022368e+01
2.372196964251856599e+01,2.652350722390461968e+01,2.646437196557166160e+01,3.642242031999680307e+01
1.544179581203982110e+01,2.637456099276245780e+01,2.543565436956817649e+01,2.883927345711599699e+01
2.494436143439114772e+01,2.798729792726097543e+01,2.637206578757048447e+01,4.300381272729586613e+01
1.323366061790407056e+00,3.214856344574670288e+01,2.501875133644118776e+01,3.191993644303631328e+01
1.140635353066740976e+01,2.655162088720065583e+01,2.657127883778487032e+01,4.637154848065937074e+01
1.358270899238567786e+01,1.718474609631861938e+01,2.572246367344587625e+01,4.270413874758026651e+01
1.279996924536336778e+01,3.441948000232603277e+01,2.588955963240244529e+01,4.653714179101628901e+01
1.259149201404963225e+00,2.175245639773453021e+01,2.646111513415256411e+01,3.676259795198517821e+01
1.406006367538578594e+01,1.736625947195406638e+01,2.613826845952964462e+01,2.522740371741763710e+01
1.811846261620894794e+01,1.462490134172562328e+01,2.687335177748609638e+01,2.896816920774652715e+01
4.502916139723028621e+00,1.524764491558688206e+01,2.562374440529162456e+01,3.155483629520405131e+01
9.425433751774988878e+00,2.099527970401405597e+01,2.687574085057043050e+01,3.294597274802653430e+01
1.043645869579506247e+01,1.815268342424317538e+01,2.586915744916733217e+01,4.581802624251707812e+01
1.736394174754889264e+01,2.195314607453343214e+01,2.938651623017153725e+01,2.378427686363775351e+01
1.454707332865107228e+00,2.392987004771269355e+01,2.937755407861251200e+01,3.921304701037855267e+01
8.296066425377890852e+00,2.112590962239075765e+01,2.527353111050786083e+01,3.973643494201441229e+01
1.938317873060509200e+01,2.425650614820019513e+01,3.226058237249134208e+01,3.239851048634986341e+01
2.142674886885642849e+01,2.101919122813202279e+01,2.455877503582453869e+01,3.295844317973323001e+01
1.650168724846373891e+01,2.943865814684779281e+01,2.626932011056183569e+01,2.085345028089393082e+01
1.736301728252326626e+01,1.550812384003372557e+01,2.626868453454198260e+01,2.517845468446687818e+01
3.332916258078025162e+00,2.562336222924536600e+01,2.712238883100596354e+01,3.376682312933015595e+01
1.056611348447155407e+01,2.259128957933419812e+01,2.939508910192785862e+01,3.278410942328983424e+01
1.545843924513873269e+01,1.841508729901738661e+01,2.485762116159200019e+01,1.560101211073732941e+01
1.252193912344159887e+00,3.013611315944248759e+01,2.474988031422665458e+01,3.021889565717818016e+01
2.968388245248043678e+00,1.797619321175647400e+01,2.554429597597118473e+01,3.521724833306436153e+01
5.427992887784671705e-01,2.032284196922978836e+01,2.768873526899057680e+01,2.910113290477037040e+01
1.688475604842430755e+01,2.003495414088379789e+01,2.660953172685119839e+01,2.585082874904988870e+01
1.260413837169110929e+00,1.930905350495043393e+01,2.943715353821804825e+01,3.227250982349713837e+01
7.457392695798514382e+00,2.983944384729019461e+01,2.685957426706691109e+01,3.923010061737533505e+01
1.307022646616962902e+01,1.959048646173677355e+01,2.963120424979739553e+01,2.424645426338263121e+01
6.556622550181493203e+00,3.459941949963325669e+01,2.796011985464602034e+01,3.512625391530593078e+01
2.985756826225680172e+00,2.328874250694223491e+01,2.506019370699881677e+01,3.785676416044346126e+01
5.400698596950498365e-01,2.804875448662390625e+01,2.736618520756787021e+01,2.887053271908531471e+01
1.356722309951338445e+01,2.477569233473399990e+01,2.555717907011451828e+01,3.271993172714681464e+01
2.562292548946509818e+00,2.277920867689906004e+01,2.907188311236461686e+01,3.523430412664237110e+01
1.368393384616948794e+01,2.645267369108517741e+01,2.512319844227377885e+01,1.990866725351158095e+01
1.433868888422739829e+01,2.348403319563034941e+01,2.796723481594976235e+01,3.455248139877073754e+01
1.121063438426967096e+01,3.257838280788855911e+01,2.521809951132051708e+01,1.988893728800519511e+01
1.012741451707828233e+01,2.818476931567436949e+01,2.474755280030453974e+01,3.587147628390715681e+01
2.114898909664050919e+01,2.368186121356631091e+01,2.507342910625703070e+01,3.880754035295753823e+01
8.940375081553323611e+00,2.512486700033831255e+01,2.490595604589151790e+01,3.096445874060024650e+01
1.716215026002361199e+01,2.859601451911364478e+01,2.439690927967642153e+01,2.917523650149902892e+01
8.955939176764763587e+00,1.301117888703413072e+01,2.820122305135569007e+01,1.771908357028989656e+01
2.468616669217234261e+01,2.019292239306333059e+01,2.711679244866598637e+01,3.097634024730567504e+01
3.809207434374006773e+00,2.745314150994175861e+01,2.531646254581861299e+01,3.435356662985337550e+01
1.908387735693088771e+01,2.554611515021146673e+01,2.543886249814367773e+01,3.686657742044853592e+01
2.361077052614852789e+01,1.766543705215800841e+01,2.831045833987704441e+01,2.904391824428377333e+01
1.087441731890227103e+01,5.133925229076137242e+00,2.682036080517690024e+01,1.925287885722099190e+01
1.460420534525268188e+01,2.298481272607339321e+01,2.583632398241921635e+01,2.721367172183325067e+01
1.287679541548977546e+01,2.037452197800224241e+01,2.601306910901725544e+01,1.784209288024749185e+01
1.657816646184608089e+01,3.017335141818894328e+01,2.497907448158599664e+01,3.847813840520624495e+01
2.201913401039143281e+01,1.381466652738148326e+01,2.769435721697272257e+01,3.888876976084025472e+01
2.989541098121081930e+00,3.059698185809747528e+01,2.820483097502185288e+01,3.097949703902955321e+01
2.066622591928489427e+01,2.828102488729700781e+01,2.765897377908155264e+01,3.036518627782690061e+01
1.995158191599535780e+00,1.596611566462837573e+01,2.867852699182066800e+01,3.806431376267198630e+01
7.149511098453781521e+00,1.721608897232841429e+01,2.876992020306633790e+01,3.861076237076192541e+01
1.394191972365302590e+01,3.189500562932627403e+01,2.685776132414779838e+01,2.966674044420974354e+01
9.269813903919063236e+00,2.255133624747972121e+01,2.642191354905697409e+01,3.493393043849162893e+01
2.158608787084343561e+01,3.007649505680322832e+01,2.859464583354528955e+01,4.304709979189269120e+01
2.486772693480744678e+01,1.888970382675990578e+01,2.637356264295848973e+01,3.394385238193870435e+01
9.448157647548782734e+00,2.467694315100986913e+01,2.559514477152086442e+01,4.022302453715899162e+01
1.162030682236304635e+01,3.479457569545486706e+01,2.838706184404399480e+01,2.329043048968420848e+01
5.854925373946986866e+00,2.687962834517006883e+01,2.599598940087070886e+01,2.993897144397694632e+01
2.083623605339642992e+01,2.173526591370655936e+01,2.722021621284640958e+01,2.909104952424558732e+01
1.333188318139377238e+01,2.008240366851894976e+01,2.837824539649296440e+01,3.560100150445143186e+01
2.470565833357855823e+01,2.154031367296922639e+01,2.627942984584645103e+01,4.047431065435429787e+01
1.754869204849869035e+01,3.369032229622015251e+01,2.732133530089593165e+01,3.954212857188966268e+01
1.033079262056522651e+01,2.671070696254754040e+01,2.590231650424168208e+01,3.032831959394263066e+01
2.389400846793495248e+01,2.623662189305171921e+01,2.591218393230116135e+01,3.487411345657083928e+01
7.991610060471604271e+00,3.292643090316715870e+01,2.551017841724607393e+01,3.728654053123702994e+01
1.962895837794378817e+00,1.799501116612602658e+01,2.467588206189566336e+01,2.950724792010852937e+01
9.153460936917429791e+00,2.992671291009958168e+01,2.910814526870552754e+01,4.468502082842543643e+01
2.034109450666254926e+00,1.853019545112277200e+01,2.502846931015764653e+01,2.521328755805225086e+01
2.271251633019367588e+01,2.866216055195033618e+01,2.816613814964354034e+01,1.018030526989064910e+01
2.320784576335973526e+01,2.818141250769982520e+01,2.621426355557839116e+01,3.789720262283707797e+01
2.747813528221673796e+00,2.700881602989842278e+01,2.676646150640658917e+01,4.276758580751817362e+01
1.764632545701859456e+01,2.231980194599314871e+01,2.686594865041102054e+01,3.445860074900326708e+01
2.074456661035325311e+01,2.172212652690087964e+01,2.639484533518507092e+01,4.230172346098852643e+01
2.673504753672295564e+00,2.343845479510588348e+01,2.550876536765106906e+01,2.283991985838013505e+01
9.056471389505924563e+00,1.878267006896407310e+01,2.963682298941562365e+01,1.974451059355067173e+01
1.072690517796556975e+01,2.166123008196694855e+01,2.636520654569529398e+01,2.810726083336631831e+01
1.670067733740614813e+01,1.848556084089980800e+01,2.783187481278166331e+01,4.133562280955477775e+01
1.092961911872587244e+01,3.132992696990480042e+01,2.652697854271302091e+01,1.990230833973474489e+01
4.438239536111085570e+00,2.462853584268537688e+01,2.474210112697685560e+01,1.956625479919109978e+01
